unit_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,treatment,exposure,visit,conversion
8173104,14.980326,10.059654,8.790681,3.359763,10.280525,2.230907,-7.011752,10.195268,3.920995,13.190056,5.300375,-0.168679,1,0,0,0
12673933,19.761028,10.059654,8.214383,3.907662,10.280525,4.115453,-4.59546,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
574455,22.40272,10.059654,8.214383,4.679882,10.280525,4.115453,-1.288207,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
6130563,21.871714,10.059654,8.214383,4.679882,10.280525,4.115453,-2.411115,4.833815,3.971858,13.190056,5.300375,-0.168679,0,0,0,0
12405068,25.290155,10.059654,8.214383,4.679882,10.280525,4.115453,-3.282109,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
8646408,19.151556,10.059654,8.707521,2.93478,10.280525,4.115453,-6.35969,4.833815,3.899112,13.190056,5.300375,-0.168679,1,0,0,0
4569318,12.616365,10.059654,9.039292,4.679882,10.280525,4.115453,0.294443,4.833815,3.906514,13.190056,5.300375,-0.168679,1,0,0,0
5216243,22.193917,10.059654,8.214383,4.679882,10.280525,4.115453,-12.422866,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
11607822,12.616365,10.059654,8.545591,4.679882,10.280525,4.115453,0.294443,4.833815,3.892853,18.380112,5.300375,-0.168679,1,0,0,0
2827661,22.500167,10.059654,8.214383,4.679882,10.280525,4.115453,-1.288207,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
2296031,24.37007,10.059654,8.214383,4.679882,10.280525,4.115453,-2.411115,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
10360831,12.616365,10.059654,8.971553,4.679882,10.280525,4.115453,0.294443,4.833815,3.892853,13.190056,5.300375,-0.168679,0,0,0,0
922814,26.239848,10.059654,8.214383,4.679882,10.280525,4.115453,-2.411115,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
3571262,24.018734,10.059654,8.214383,4.679882,10.280525,4.115453,-3.993764,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
12509511,12.616365,10.059654,8.311746,4.679882,11.029584,4.115453,0.294443,4.833815,3.906514,25.240993,5.783164,-0.26735,1,0,0,0
10490171,19.986242,10.059654,8.214383,3.359763,10.280525,4.115453,-16.059012,4.833815,3.971858,13.190056,5.300375,-0.168679,0,0,0,0
11268298,12.840294,10.059654,8.214383,2.039645,10.280525,4.115453,-17.501168,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
8074210,12.616365,10.059654,8.954533,4.679882,10.280525,4.115453,0.294443,4.833815,3.955396,13.190056,5.300375,-0.168679,1,0,0,0
7712530,12.616365,10.059654,8.229175,4.679882,11.029584,4.115453,0.294443,4.833815,3.813029,40.427093,5.3211,-0.26735,1,0,0,0
4129618,22.449266,10.059654,8.214383,4.679882,10.280525,4.115453,-1.288207,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
2623327,22.104025,10.059654,8.214383,4.679882,10.280525,4.115453,-5.116672,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
6286329,12.616365,10.059654,9.004836,4.679882,10.280525,4.115453,0.294443,4.833815,3.943716,13.190056,5.300375,-0.168679,0,0,0,0
8563916,12.616365,10.059654,8.840012,4.679882,10.280525,4.115453,0.294443,4.833815,3.955396,13.190056,5.300375,-0.168679,1,0,0,0
6534608,25.916648,10.059654,8.214383,4.679882,10.280525,4.115453,-10.403862,4.833815,3.971858,13.190056,5.300375,-0.168679,0,0,0,0
3365907,26.156817,10.059654,8.214383,4.679882,10.280525,4.115453,-1.288207,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
11585651,12.616365,10.059654,8.923334,4.679882,10.280525,4.115453,0.294443,4.833815,3.943716,13.190056,5.300375,-0.168679,1,0,0,0
4642202,25.917285,10.059654,8.214383,4.679882,10.280525,4.115453,-5.116672,4.833815,3.971858,13.190056,5.300375,-0.168679,1,0,0,0
